label,scoring,local_cycles,local_margin,local_min_box,local_max_box,rmsd
cent_sc_vina_cyc2_lm0.25_min10.0_max12.0,vina,2,0.25,10.0,12.0,3.3871531339668093
cent_sc_vina_cyc2_lm0.25_min10.0_max10.0,vina,2,0.25,10.0,10.0,3.3871531339668093
cent_sc_vina_cyc2_lm0.5_min10.0_max10.0,vina,2,0.5,10.0,10.0,3.3871531339668093
cent_sc_vina_cyc2_lm0.5_min10.0_max12.0,vina,2,0.5,10.0,12.0,3.3871531339668093
cent_sc_vina_cyc2_lm0.75_min10.0_max12.0,vina,2,0.75,10.0,12.0,3.3871531339668093
cent_sc_vina_cyc2_lm0.75_min10.0_max10.0,vina,2,0.75,10.0,10.0,3.3871531339668093
cent_sc_vina_cyc3_lm0.5_min10.0_max10.0,vina,3,0.5,10.0,10.0,3.411100727986582
cent_sc_vina_cyc3_lm0.5_min10.0_max12.0,vina,3,0.5,10.0,12.0,3.411100727986582
cent_sc_vina_cyc3_lm0.25_min10.0_max12.0,vina,3,0.25,10.0,12.0,3.411100727986582
cent_sc_vina_cyc3_lm0.25_min10.0_max10.0,vina,3,0.25,10.0,10.0,3.411100727986582
cent_sc_vina_cyc3_lm0.75_min10.0_max10.0,vina,3,0.75,10.0,10.0,3.411100727986582
cent_sc_vina_cyc3_lm0.75_min10.0_max12.0,vina,3,0.75,10.0,12.0,3.411100727986582
cent_sc_vina_cyc3_lm0.5_min8.0_max10.0,vina,3,0.5,8.0,10.0,3.433734375968223
cent_sc_vina_cyc3_lm0.5_min8.0_max12.0,vina,3,0.5,8.0,12.0,3.433734375968223
cent_sc_vina_cyc3_lm0.25_min8.0_max12.0,vina,3,0.25,8.0,12.0,3.433734375968223
cent_sc_vina_cyc3_lm0.25_min8.0_max10.0,vina,3,0.25,8.0,10.0,3.433734375968223
cent_sc_vina_cyc3_lm0.75_min8.0_max10.0,vina,3,0.75,8.0,10.0,3.433734375968223
cent_sc_vina_cyc3_lm0.75_min8.0_max12.0,vina,3,0.75,8.0,12.0,3.433734375968223
cent_sc_vina_cyc2_lm0.5_min8.0_max12.0,vina,2,0.5,8.0,12.0,3.4416127290081007
cent_sc_vina_cyc2_lm0.5_min8.0_max10.0,vina,2,0.5,8.0,10.0,3.4416127290081007
cent_sc_vina_cyc2_lm0.75_min8.0_max10.0,vina,2,0.75,8.0,10.0,3.4416127290081007
cent_sc_vina_cyc2_lm0.75_min8.0_max12.0,vina,2,0.75,8.0,12.0,3.4416127290081007
cent_sc_vina_cyc2_lm0.25_min8.0_max12.0,vina,2,0.25,8.0,12.0,3.4416127290081007
cent_sc_vina_cyc2_lm0.25_min8.0_max10.0,vina,2,0.25,8.0,10.0,3.4416127290081007
cent_sc_vina_cyc1_lm0.75_min8.0_max10.0,vina,1,0.75,8.0,10.0,3.5116887507797356
cent_sc_vina_cyc1_lm0.75_min8.0_max12.0,vina,1,0.75,8.0,12.0,3.5116887507797356
cent_sc_vina_cyc1_lm0.25_min8.0_max12.0,vina,1,0.25,8.0,12.0,3.5116887507797356
cent_sc_vina_cyc1_lm0.25_min8.0_max10.0,vina,1,0.25,8.0,10.0,3.5116887507797356
cent_sc_vina_cyc1_lm0.5_min8.0_max10.0,vina,1,0.5,8.0,10.0,3.5116887507797356
cent_sc_vina_cyc1_lm0.5_min8.0_max12.0,vina,1,0.5,8.0,12.0,3.5116887507797356
cent_sc_vina_cyc1_lm0.75_min10.0_max10.0,vina,1,0.75,10.0,10.0,4.554010953511847
cent_sc_vina_cyc1_lm0.75_min10.0_max12.0,vina,1,0.75,10.0,12.0,4.554010953511847
cent_sc_vina_cyc1_lm0.5_min10.0_max12.0,vina,1,0.5,10.0,12.0,4.554010953511847
cent_sc_vina_cyc1_lm0.5_min10.0_max10.0,vina,1,0.5,10.0,10.0,4.554010953511847
cent_sc_vina_cyc1_lm0.25_min10.0_max10.0,vina,1,0.25,10.0,10.0,4.554010953511847
cent_sc_vina_cyc1_lm0.25_min10.0_max12.0,vina,1,0.25,10.0,12.0,4.554010953511847
cent_sc_vinardo_cyc2_lm0.5_min10.0_max12.0,vinardo,2,0.5,10.0,12.0,5.668567948629997
cent_sc_vinardo_cyc2_lm0.5_min10.0_max10.0,vinardo,2,0.5,10.0,10.0,5.668567948629997
cent_sc_vinardo_cyc2_lm0.25_min10.0_max10.0,vinardo,2,0.25,10.0,10.0,5.668567948629997
cent_sc_vinardo_cyc2_lm0.25_min10.0_max12.0,vinardo,2,0.25,10.0,12.0,5.668567948629997
cent_sc_vinardo_cyc2_lm0.75_min10.0_max12.0,vinardo,2,0.75,10.0,12.0,5.668567948629997
cent_sc_vinardo_cyc2_lm0.75_min10.0_max10.0,vinardo,2,0.75,10.0,10.0,5.668567948629997
cent_sc_vinardo_cyc1_lm0.75_min10.0_max10.0,vinardo,1,0.75,10.0,10.0,5.931458921814807
cent_sc_vinardo_cyc1_lm0.75_min10.0_max12.0,vinardo,1,0.75,10.0,12.0,5.931458921814807
cent_sc_vinardo_cyc1_lm0.25_min10.0_max12.0,vinardo,1,0.25,10.0,12.0,5.931458921814807
cent_sc_vinardo_cyc1_lm0.25_min10.0_max10.0,vinardo,1,0.25,10.0,10.0,5.931458921814807
cent_sc_vinardo_cyc1_lm0.5_min10.0_max10.0,vinardo,1,0.5,10.0,10.0,5.931458921814807
cent_sc_vinardo_cyc1_lm0.5_min10.0_max12.0,vinardo,1,0.5,10.0,12.0,5.931458921814807
cent_sc_vinardo_cyc3_lm0.5_min8.0_max10.0,vinardo,3,0.5,8.0,10.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.5_min8.0_max12.0,vinardo,3,0.5,8.0,12.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.25_min8.0_max10.0,vinardo,3,0.25,8.0,10.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.25_min8.0_max12.0,vinardo,3,0.25,8.0,12.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.75_min8.0_max12.0,vinardo,3,0.75,8.0,12.0,6.9116884631589635
cent_sc_vinardo_cyc3_lm0.75_min8.0_max10.0,vinardo,3,0.75,8.0,10.0,6.9116884631589635
cent_sc_vinardo_cyc2_lm0.5_min8.0_max10.0,vinardo,2,0.5,8.0,10.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.5_min8.0_max12.0,vinardo,2,0.5,8.0,12.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.75_min8.0_max10.0,vinardo,2,0.75,8.0,10.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.75_min8.0_max12.0,vinardo,2,0.75,8.0,12.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.25_min8.0_max12.0,vinardo,2,0.25,8.0,12.0,6.953036786816501
cent_sc_vinardo_cyc2_lm0.25_min8.0_max10.0,vinardo,2,0.25,8.0,10.0,6.953036786816501
cent_sc_vinardo_cyc1_lm0.25_min8.0_max12.0,vinardo,1,0.25,8.0,12.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.25_min8.0_max10.0,vinardo,1,0.25,8.0,10.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.75_min8.0_max10.0,vinardo,1,0.75,8.0,10.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.75_min8.0_max12.0,vinardo,1,0.75,8.0,12.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.5_min8.0_max10.0,vinardo,1,0.5,8.0,10.0,7.10505189574126
cent_sc_vinardo_cyc1_lm0.5_min8.0_max12.0,vinardo,1,0.5,8.0,12.0,7.10505189574126
